"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-01",101.4358,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-02",101.4159,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-03",101.2529,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-04",100.9797,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-05",100.8184,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-06",100.856,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-07",101.0567,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-08",101.2239,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-09",101.397,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-10",101.5352,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-11",101.3444,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-12",100.7358,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-01",99.86816,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-02",99.45708,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-03",99.55175,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-04",99.94593,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-05",100.2327,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-06",100.3063,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-07",100.2253,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-08",100.1383,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-09",100.0665,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-10",99.9906,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-11",99.92298,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-12",99.83378,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-01",99.71871,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-02",99.68825,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-03",99.63453,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-04",99.56064,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-05",99.48489,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-06",99.36538,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-07",99.1757,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-08",99.02451,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-09",98.89703,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-10",98.80634,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-11",98.92071,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-12",99.3557,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-01",100.0597,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-02",100.5282,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-03",100.594,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-04",100.406,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-05",100.2148,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-06",100.1121,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-07",100.0727,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-08",100.057,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-09",100.0509,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-10",100.081,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-11",100.2211,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-12",100.5617,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-01",101.07,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-02",101.3991,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-03",101.4248,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-04",101.2152,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-05",101.0056,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-06",100.8099,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-07",100.6306,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-08",100.5052,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-09",100.3864,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-10",100.2679,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-11",100.3027,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-12",100.6234,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1978-01",101.1578,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1978-02",101.4576,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1978-03",101.3588,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1978-04",100.9809,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1978-05",100.676,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1978-06",100.5108,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1978-07",100.4222,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1978-08",100.382,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1978-09",100.3366,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1978-10",100.2469,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1978-11",100.1338,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1978-12",100.0186,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1979-01",99.88658,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1979-02",99.80253,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1979-03",99.74367,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1979-04",99.68389,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1979-05",99.65256,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1979-06",99.64492,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1979-07",99.65349,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1979-08",99.6756,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1979-09",99.7049,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1979-10",99.70924,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1979-11",99.6013,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1979-12",99.23438,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1980-01",98.65956,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1980-02",98.194,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1980-03",97.80073,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1980-04",97.40484,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1980-05",97.13741,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1980-06",96.98454,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1980-07",96.90536,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1980-08",96.8356,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1980-09",96.76674,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1980-10",96.66637,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1980-11",96.54711,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1980-12",96.41756,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1981-01",96.25221,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1981-02",96.12099,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1981-03",96.05589,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1981-04",96.03273,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1981-05",96.0364,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1981-06",96.08392,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1981-07",96.22077,
