date,unit_sales_CA_1_HOUSEHOLD_1_HOUSEHOLD_1_416,unit_sales_CA_1_FOODS_2_FOODS_2_044,unit_sales_CA_1_FOODS_3_FOODS_3_030,unit_sales_CA_1_HOBBIES_1_HOBBIES_1_418,unit_sales_CA_1_FOODS_3_FOODS_3_185,unit_sales_CA_1_HOUSEHOLD_1_HOUSEHOLD_1_219,unit_sales_CA_1_FOODS_3_FOODS_3_393,sell_price_CA_1_HOUSEHOLD_1_HOUSEHOLD_1_416,sell_price_CA_1_FOODS_2_FOODS_2_044,sell_price_CA_1_FOODS_3_FOODS_3_030,sell_price_CA_1_HOBBIES_1_HOBBIES_1_418,sell_price_CA_1_FOODS_3_FOODS_3_185,sell_price_CA_1_HOUSEHOLD_1_HOUSEHOLD_1_219,sell_price_CA_1_FOODS_3_FOODS_3_393,year,month,week,weekday,yearmonth,event_name_1,event_name_2,snap_CA,CCI_USA
2013-02-02,2.0,0.0,43.0,0.0,0.0,0.0,4.0,3.47,2.5,1.28,3.74,2.48,6.98,3.5,2013,2,5,Saturday,201302,,,1,98.72734
2013-02-03,0.0,0.0,33.0,0.0,0.0,0.0,5.0,3.47,2.5,1.28,3.74,2.48,6.98,3.5,2013,2,5,Sunday,201302,SuperBowl,,1,98.72734
2013-02-04,1.0,1.0,5.0,0.0,0.0,0.0,1.0,3.47,2.5,1.28,3.74,2.48,6.98,3.5,2013,2,6,Monday,201302,,,1,98.72734
2013-02-05,0.0,1.0,14.0,0.0,0.0,0.0,2.0,3.47,2.5,1.28,3.74,2.48,6.98,3.5,2013,2,6,Tuesday,201302,,,1,98.72734
2013-02-06,0.0,1.0,11.0,0.0,0.0,0.0,2.0,3.47,2.5,1.28,3.74,2.48,6.98,3.5,2013,2,6,Wednesday,201302,,,1,98.72734
2013-02-07,0.0,2.0,5.0,0.0,0.0,0.0,5.0,3.47,2.5,1.28,3.74,2.48,6.98,3.5,2013,2,6,Thursday,201302,,,1,98.72734
2013-02-08,0.0,0.0,13.0,0.0,0.0,0.0,4.0,3.47,2.5,1.28,3.74,2.48,6.98,3.5,2013,2,6,Friday,201302,,,1,98.72734
2013-02-09,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.47,2.5,1.38,3.98,2.48,6.98,3.5,2013,2,6,Saturday,201302,,,1,98.72734
2013-02-10,2.0,4.0,0.0,0.0,0.0,0.0,0.0,3.47,2.5,1.38,3.98,2.48,6.98,3.5,2013,2,6,Sunday,201302,,,1,98.72734
2013-02-11,0.0,0.0,10.0,1.0,0.0,0.0,0.0,3.47,2.5,1.38,3.98,2.48,6.98,3.5,2013,2,7,Monday,201302,,,0,98.72734
2013-02-12,1.0,2.0,1.0,0.0,0.0,0.0,0.0,3.47,2.5,1.38,3.98,2.48,6.98,3.5,2013,2,7,Tuesday,201302,,,0,98.72734
2013-02-13,1.0,0.0,7.0,0.0,0.0,0.0,1.0,3.47,2.5,1.38,3.98,2.48,6.98,3.5,2013,2,7,Wednesday,201302,LentStart,,0,98.72734
2013-02-14,1.0,1.0,5.0,2.0,0.0,0.0,1.0,3.47,2.5,1.38,3.98,2.48,6.98,3.5,2013,2,7,Thursday,201302,ValentinesDay,,0,98.72734
2013-02-15,0.0,2.0,8.0,0.0,0.0,0.0,5.0,3.47,2.5,1.38,3.98,2.48,6.98,3.5,2013,2,7,Friday,201302,,,0,98.72734
2013-02-16,0.0,0.0,10.0,0.0,0.0,0.0,2.0,3.47,2.5,1.38,3.98,2.48,6.98,3.5,2013,2,7,Saturday,201302,,,0,98.72734
2013-02-17,1.0,0.0,4.0,0.0,0.0,0.0,12.0,3.47,2.5,1.38,3.98,2.48,6.98,3.5,2013,2,7,Sunday,201302,,,0,98.72734
2013-02-18,3.0,0.0,13.0,1.0,0.0,0.0,2.0,3.47,2.5,1.38,3.98,2.48,6.98,3.5,2013,2,8,Monday,201302,PresidentsDay,,0,98.72734
2013-02-19,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.47,2.5,1.38,3.98,2.48,6.98,3.5,2013,2,8,Tuesday,201302,,,0,98.72734
2013-02-20,0.0,0.0,6.0,0.0,0.0,0.0,0.0,3.47,2.5,1.38,3.98,2.48,6.98,3.5,2013,2,8,Wednesday,201302,LentWeek2,,0,98.72734
2013-02-21,0.0,1.0,5.0,0.0,0.0,0.0,0.0,3.47,2.5,1.38,3.98,2.48,6.98,3.5,2013,2,8,Thursday,201302,,,0,98.72734
2013-02-22,0.0,0.0,10.0,2.0,0.0,0.0,5.0,3.47,2.5,1.38,3.98,2.48,6.98,3.5,2013,2,8,Friday,201302,,,0,98.72734
2013-02-23,2.0,3.0,7.0,0.0,0.0,0.0,8.0,3.47,2.5,1.38,3.98,2.48,6.98,3.5,2013,2,8,Saturday,201302,,,0,98.72734
2013-02-24,0.0,1.0,13.0,0.0,0.0,0.0,5.0,3.47,2.5,1.38,3.98,2.48,6.98,3.5,2013,2,8,Sunday,201302,Purim End,,0,98.72734
2013-02-25,0.0,2.0,3.0,0.0,0.0,0.0,2.0,3.47,2.5,1.38,3.98,2.48,6.98,3.5,2013,2,9,Monday,201302,,,0,98.72734
2013-02-26,0.0,0.0,23.0,0.0,0.0,0.0,1.0,3.47,2.5,1.38,3.98,2.48,6.98,3.5,2013,2,9,Tuesday,201302,,,0,98.72734
2013-02-27,2.0,1.0,6.0,0.0,0.0,0.0,6.0,3.47,2.5,1.38,3.98,2.48,6.98,3.5,2013,2,9,Wednesday,201302,,,0,98.72734
2013-02-28,1.0,1.0,3.0,0.0,0.0,0.0,3.0,3.47,2.5,1.38,3.98,2.48,6.98,3.5,2013,2,9,Thursday,201302,,,0,98.72734
